group,final_total,n
pooled_step,0,6
pooled_step,1,3021
pooled_step,2,3359
pooled_step,3,13251
pooled_step,4,5219
pooled_step,5,10048
pooled_step,6,4802
pooled_step,7,10751
pooled_step,8,3368
pooled_step,9,5253
pooled_step,10,3129
pooled_step,11,3029
pooled_step,12,2190
pooled_step,13,2232
pooled_step,14,1576
pooled_step,15,1531
pooled_step,16,1230
pooled_step,17,1081
pooled_step,18,967
pooled_step,19,930
pooled_step,20,769
pooled_step,21,780
pooled_step,22,638
pooled_step,23,604
pooled_step,24,576
pooled_step,25,535
pooled_step,26,528
pooled_step,27,427
pooled_step,28,489
pooled_step,29,366
pooled_step,30,373
pooled_step,31,306
pooled_step,32,324
pooled_step,33,278
pooled_step,34,321
pooled_step,35,231
pooled_step,36,247
pooled_step,37,212
pooled_step,38,198
pooled_step,39,143
pooled_step,40,176
pooled_step,41,104
pooled_step,42,97
pooled_step,43,117
pooled_step,44,104
pooled_step,45,106
pooled_step,46,81
pooled_step,47,80
pooled_step,48,92
pooled_step,49,91
pooled_step,50,83
pooled_step,51,73
pooled_step,52,72
pooled_step,53,67
pooled_step,54,63
pooled_step,55,64
pooled_step,56,50
pooled_step,57,60
pooled_step,58,43
pooled_step,59,63
pooled_step,60,46
pooled_step,61,36
pooled_step,62,41
pooled_step,63,43
pooled_step,64,36
pooled_step,65,29
pooled_step,66,44
pooled_step,67,41
pooled_step,68,38
pooled_step,69,47
pooled_step,70,43
pooled_step,71,41
pooled_step,72,29
pooled_step,73,34
pooled_step,74,25
pooled_step,75,35
pooled_step,76,33
pooled_step,77,20
pooled_step,78,26
pooled_step,79,27
pooled_step,80,25
pooled_step,81,15
pooled_step,82,17
pooled_step,83,20
pooled_step,84,25
pooled_step,85,20
pooled_step,86,22
pooled_step,87,25
pooled_step,88,22
pooled_step,89,16
pooled_step,90,16
pooled_step,91,23
pooled_step,92,19
pooled_step,93,11
pooled_step,94,14
pooled_step,95,14
pooled_step,96,11
pooled_step,97,22
pooled_step,98,17
pooled_step,99,13
pooled_step,100,17
pooled_step,101,11
pooled_step,102,16
pooled_step,103,9
pooled_step,109,1
pooled_step,111,1
pooled_step,114,1
pooled_step,115,1
pooled_step,123,1
pooled_step,132,1
pooled_step,144,1
pooled_step,151,2
pooled_step,153,1
pooled_step,162,1
pooled_step,165,1
pooled_step,181,1
pooled_step,220,1
pooled_step,236,1
pooled_step,248,1
pooled_step,270,1
pooled_step,298,1
pooled_step,517,1
pooled_step,674,1
exact_prefix,1,2987
exact_prefix,2,2342
exact_prefix,3,8137
exact_prefix,4,1739
exact_prefix,5,4349
exact_prefix,6,1028
exact_prefix,7,1779
exact_prefix,8,874
exact_prefix,9,1125
exact_prefix,10,629
exact_prefix,11,721
exact_prefix,12,502
exact_prefix,13,506
exact_prefix,14,367
exact_prefix,15,352
exact_prefix,16,278
exact_prefix,17,306
exact_prefix,18,236
exact_prefix,19,258
exact_prefix,20,188
exact_prefix,21,193
exact_prefix,22,158
exact_prefix,23,174
exact_prefix,24,141
exact_prefix,25,133
exact_prefix,26,131
exact_prefix,27,121
exact_prefix,28,122
exact_prefix,29,90
exact_prefix,30,81
exact_prefix,31,75
exact_prefix,32,71
exact_prefix,33,62
exact_prefix,34,67
exact_prefix,35,54
exact_prefix,36,57
exact_prefix,37,57
exact_prefix,38,43
exact_prefix,39,42
exact_prefix,40,43
exact_prefix,41,30
exact_prefix,42,28
exact_prefix,43,34
exact_prefix,44,32
exact_prefix,45,22
exact_prefix,46,19
exact_prefix,47,21
exact_prefix,48,32
exact_prefix,49,29
exact_prefix,50,24
exact_prefix,51,21
exact_prefix,52,21
exact_prefix,53,17
exact_prefix,54,14
exact_prefix,55,21
exact_prefix,56,11
exact_prefix,57,18
exact_prefix,58,16
exact_prefix,59,20
exact_prefix,60,12
exact_prefix,61,8
exact_prefix,62,7
exact_prefix,63,8
exact_prefix,64,10
exact_prefix,65,8
exact_prefix,66,9
exact_prefix,67,12
exact_prefix,68,13
exact_prefix,69,17
exact_prefix,70,14
exact_prefix,71,14
exact_prefix,72,2
exact_prefix,73,11
exact_prefix,74,10
exact_prefix,75,5
exact_prefix,76,2
exact_prefix,77,4
exact_prefix,78,5
exact_prefix,79,6
exact_prefix,80,3
exact_prefix,81,2
exact_prefix,82,3
exact_prefix,83,4
exact_prefix,84,5
exact_prefix,85,4
exact_prefix,86,4
exact_prefix,87,3
exact_prefix,89,1
exact_prefix,90,1
exact_prefix,91,4
exact_prefix,92,2
exact_prefix,93,3
exact_prefix,94,3
exact_prefix,95,1
exact_prefix,96,2
exact_prefix,97,3
exact_prefix,98,3
exact_prefix,99,5
exact_prefix,100,3
exact_prefix,101,2
exact_prefix,109,1
exact_prefix,111,1
exact_prefix,165,1
exact_prefix,517,1
