step,overall_complete_weight,overall_active_weight,overall_progress,overall_complete_leaf_count,overall_active_leaf_count,coding_complete_weight,coding_active_weight,coding_progress,coding_complete_leaf_count,coding_active_leaf_count,excluded_complete_weight,excluded_active_weight,excluded_progress,excluded_complete_leaf_count,excluded_active_leaf_count,product_complete_weight,product_active_weight,product_progress,validation_complete_weight,validation_active_weight,validation_progress,investigation_complete_weight,investigation_active_weight,investigation_progress,environment_complete_weight,environment_active_weight,environment_progress,artifact_complete_weight,artifact_active_weight,artifact_progress,documentation_complete_weight,documentation_active_weight,documentation_progress
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
1,0,1.0,0.0,0,1,0,1.0,0.0,0,1,0,0,0.0,0,0,0,1.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2,0,2.0,0.0,0,2,0,2.0,0.0,0,2,0,0,0.0,0,0,0,1.0,0.0,0,1.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
3,0,3.0,0.0,0,3,0,3.0,0.0,0,3,0,0,0.0,0,0,0,2.0,0.0,0,1.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
4,0,4.0,0.0,0,4,0,4.0,0.0,0,4,0,0,0.0,0,0,0,2.0,0.0,0,2.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
5,0,5.0,0.0,0,5,0,4.0,0.0,0,4,0,1.0,0.0,0,1,0,2.0,0.0,0,2.0,0.0,0,0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.0
6,0,5.0,0.0,0,5,0,4.0,0.0,0,4,0,1.0,0.0,0,1,0,2.0,0.0,0,2.0,0.0,0,0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.0
7,1.0,5.0,0.2,1,5,1.0,4.0,0.25,1,4,0,1.0,0.0,0,1,1.0,2.0,0.5,0,2.0,0.0,0,0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.0
8,1.0,5.0,0.2,1,5,1.0,4.0,0.25,1,4,0,1.0,0.0,0,1,1.0,2.0,0.5,0,2.0,0.0,0,0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.0
9,1.0,7.0,0.14285714285714285,1,7,1.0,6.0,0.16666666666666666,1,6,0,1.0,0.0,0,1,1.0,2.0,0.5,0,4.0,0.0,0,0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.0
10,2.0,7.0,0.2857142857142857,2,7,2.0,6.0,0.3333333333333333,2,6,0,1.0,0.0,0,1,1.0,2.0,0.5,1.0,4.0,0.25,0,0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.0
11,3.0,7.0,0.42857142857142855,3,7,3.0,6.0,0.5,3,6,0,1.0,0.0,0,1,1.0,2.0,0.5,2.0,4.0,0.5,0,0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.0
12,4.0,7.0,0.5714285714285714,4,7,4.0,6.0,0.6666666666666666,4,6,0,1.0,0.0,0,1,1.0,2.0,0.5,3.0,4.0,0.75,0,0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.0
13,4.0,7.0,0.5714285714285714,4,7,4.0,6.0,0.6666666666666666,4,6,0,1.0,0.0,0,1,1.0,2.0,0.5,3.0,4.0,0.75,0,0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.0
14,5.0,7.0,0.7142857142857143,5,7,5.0,6.0,0.8333333333333334,5,6,0,1.0,0.0,0,1,2.0,2.0,1.0,3.0,4.0,0.75,0,0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.0
15,4.0,7.0,0.5714285714285714,4,7,4.0,6.0,0.6666666666666666,4,6,0,1.0,0.0,0,1,1.0,1.0,1.0,3.0,4.0,0.75,0,1.0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.0
16,4.0,7.0,0.5714285714285714,4,7,4.0,6.0,0.6666666666666666,4,6,0,1.0,0.0,0,1,1.0,1.0,1.0,3.0,4.0,0.75,0,1.0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.0
17,4.0,7.0,0.5714285714285714,4,7,4.0,6.0,0.6666666666666666,4,6,0,1.0,0.0,0,1,1.0,1.0,1.0,3.0,4.0,0.75,0,1.0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.0
18,4.0,7.0,0.5714285714285714,4,7,4.0,6.0,0.6666666666666666,4,6,0,1.0,0.0,0,1,1.0,2.0,0.5,3.0,4.0,0.75,0,0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.0
19,5.0,7.0,0.7142857142857143,5,7,5.0,6.0,0.8333333333333334,5,6,0,1.0,0.0,0,1,2.0,2.0,1.0,3.0,4.0,0.75,0,0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.0
20,5.0,7.0,0.7142857142857143,5,7,5.0,6.0,0.8333333333333334,5,6,0,1.0,0.0,0,1,2.0,2.0,1.0,3.0,4.0,0.75,0,0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.0
21,6.0,7.0,0.8571428571428571,6,7,6.0,6.0,1.0,6,6,0,1.0,0.0,0,1,2.0,2.0,1.0,4.0,4.0,1.0,0,0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.0
22,6.0,7.0,0.8571428571428571,6,7,6.0,6.0,1.0,6,6,0,1.0,0.0,0,1,2.0,2.0,1.0,4.0,4.0,1.0,0,0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.0
23,7.0,7.0,1.0,7,7,6.0,6.0,1.0,6,6,1.0,1.0,1.0,1,1,2.0,2.0,1.0,4.0,4.0,1.0,0,0,0.0,0,0,0.0,1.0,1.0,1.0,0,0,0.0
